Order Customer Id,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Score,RFM_Total_Score,Customer_Segmentation
1,792,1,2362.250061,4,4,3,443,11,Champions
2,136,10,2842.70007308,2,2,2,222,6,Can't lose them
3,229,18,6143.7600575,3,1,1,311,5,At Risk
4,380,14,4370.62999096,4,2,2,422,8,Promising
5,457,7,2993.7900315200004,4,3,2,432,9,Recent Customers
6,646,15,10029.16008718,4,2,1,421,7,Customers Needing Attention
7,220,22,10943.190101819999,3,1,1,311,5,At Risk
8,126,19,10723.489944580002,2,1,1,211,4,Lost
9,140,14,5530.91017331,2,2,2,222,6,Can't lose them
10,307,8,4281.53002504,3,2,2,322,7,Customers Needing Attention
11,371,12,6701.979995379999,4,2,1,421,7,Customers Needing Attention
12,255,28,13100.249966120002,3,1,1,311,5,At Risk
13,193,16,6838.799983339999,3,1,1,311,5,At Risk
14,158,13,4682.730060689999,2,2,2,222,6,Can't lose them
15,420,3,226.18000031999998,4,3,4,434,11,Champions
16,123,17,4111.05003723,2,1,2,212,5,At Risk
17,284,17,6397.8901061,3,1,1,311,5,At Risk
18,405,15,7899.170005699999,4,2,1,421,7,Customers Needing Attention
19,464,24,9189.48999077,4,1,1,411,6,Can't lose them
20,291,6,6597.540168400001,3,3,1,331,7,Customers Needing Attention
21,295,17,6171.26997012,3,1,1,311,5,At Risk
22,387,16,5118.4000473,4,1,2,412,7,Customers Needing Attention
23,501,20,9812.519946670001,4,1,1,411,6,Can't lose them
24,684,15,7702.78999395,4,2,1,421,7,Customers Needing Attention
25,641,4,1407.19000986,4,3,3,433,10,Loyal Customers
26,190,13,4169.2200775,3,2,2,322,7,Customers Needing Attention
27,301,11,6084.06000147,3,2,1,321,6,Can't lose them
28,296,7,6142.889915919998,3,3,1,331,7,Customers Needing Attention
29,354,5,4153.3201064,4,3,2,432,9,Recent Customers
30,580,8,2154.69001482,4,2,3,423,9,Recent Customers
31,527,24,9516.12998201,4,1,1,411,6,Can't lose them
32,326,17,7072.620062270001,4,1,1,411,6,Can't lose them
33,779,5,3863.95004653,4,3,2,432,9,Recent Customers
34,132,16,4620.8600389,2,1,2,212,5,At Risk
35,402,13,3638.48004914,4,2,2,422,8,Promising
36,167,6,1680.6600037,3,3,3,333,9,Recent Customers
37,176,10,2833.9799611400003,3,2,2,322,7,Customers Needing Attention
38,332,16,5708.140049060001,4,1,2,412,7,Customers Needing Attention
39,234,17,5215.89006405,3,1,2,312,6,Can't lose them
40,151,18,11719.32000052,2,1,1,211,4,Lost
41,137,12,6597.690145599999,2,2,1,221,5,At Risk
42,247,18,5683.8599852,3,1,2,312,6,Can't lose them
43,215,6,2098.0399931,3,3,3,333,9,Recent Customers
44,322,16,4903.5400694499995,4,1,2,412,7,Customers Needing Attention
45,217,15,5848.86010738,3,2,2,322,7,Customers Needing Attention
46,352,19,7516.600063669999,4,1,1,411,6,Can't lose them
47,621,3,2033.800003,4,3,3,433,10,Loyal Customers
48,171,15,8699.9199983,3,2,1,321,6,Can't lose them
49,628,8,2578.29998014,4,2,2,422,8,Promising
50,250,13,3722.4000243600003,3,2,2,322,7,Customers Needing Attention
51,268,20,11511.26007134,3,1,1,311,5,At Risk
52,137,9,5377.8200302,2,2,2,222,6,Can't lose them
53,476,18,9779.85016265,4,1,1,411,6,Can't lose them
54,156,17,5339.68003096,2,1,2,212,5,At Risk
55,129,22,8920.400024479999,2,1,1,211,4,Lost
56,157,15,5373.660049630001,2,2,2,222,6,Can't lose them
57,456,12,4684.33006655,4,2,2,422,8,Promising
58,209,26,18236.270104380004,3,1,1,311,5,At Risk
59,386,10,3538.60000608,4,2,2,422,8,Promising
60,425,10,6385.32997526,4,2,1,421,7,Customers Needing Attention
61,598,9,5227.12002588,4,2,2,422,8,Promising
62,312,10,1957.85001364,4,2,3,423,9,Recent Customers
63,148,10,3680.29003912,2,2,2,222,6,Can't lose them
64,620,7,2436.8200758999997,4,3,3,433,10,Loyal Customers
65,194,19,6395.20002359,3,1,1,311,5,At Risk
66,490,19,6457.170097270001,4,1,1,411,6,Can't lose them
67,224,8,3608.4800569200006,3,2,2,322,7,Customers Needing Attention
68,535,9,3878.62004466,4,2,2,422,8,Promising
69,137,14,2244.01999675,2,2,3,223,7,Customers Needing Attention
70,133,18,8513.780109110001,2,1,1,211,4,Lost
71,565,19,6541.3500308699995,4,1,1,411,6,Can't lose them
72,191,21,8068.0500756599995,3,1,1,311,5,At Risk
73,700,13,6260.310092819999,4,2,1,421,7,Customers Needing Attention
74,159,18,8436.25002327,2,1,1,211,4,Lost
75,198,9,5368.85006726,3,2,2,322,7,Customers Needing Attention
76,424,17,7848.53005982,4,1,1,411,6,Can't lose them
77,221,15,6935.0901431699995,3,2,1,321,6,Can't lose them
78,527,2,636.3000182,4,3,3,433,10,Loyal Customers
79,364,18,7662.76011664,4,1,1,411,6,Can't lose them
80,224,11,4359.91999436,3,2,2,322,7,Customers Needing Attention
81,450,2,392.77001192,4,3,3,433,10,Loyal Customers
82,415,15,5062.3200382899995,4,2,2,422,8,Promising
83,374,16,6873.2700425,4,1,1,411,6,Can't lose them
84,124,13,4757.850001899999,2,2,2,222,6,Can't lose them
85,400,10,4148.21000702,4,2,2,422,8,Promising
86,407,9,2498.9000433399997,4,2,3,423,9,Recent Customers
87,848,12,4597.07000772,4,2,2,422,8,Promising
88,207,16,4165.41996368,3,1,2,312,6,Can't lose them
89,532,9,2925.52000799,4,2,2,422,8,Promising
